tit,keywords,category1
Towards achieving a delicate blending between rule-based translator and neural machine translator,"['Neural machine translation (NMT)', 'Rule-based translator', 'Statistical machine translation (SMT)', 'Blending', 'Integration', 'Natural language processing']",computer science
Trust repair in human-agent teams: the effectiveness of explanations and expressing regret,"['Trust repair', 'Trust', 'Intelligent agents', 'Human', 'Agent interaction', 'Apology', 'Social abilities', 'Collaboration', 'Competence']",computer science
Being a data professional: give voice to value in a data driven society,"['Data analytics', 'Ethics codes', 'Professionalism']",computer science
Adaptive RBF neural network-based control of an underactuated control moment gyroscope,"['Control moment gyroscope', 'Underactuated systems', 'Trajectory tracking control', 'Neural networks', 'Real-time experiments', 'Radial basis functions']",computer science
AVDM: A hierarchical command-and-control system architecture for cooperative autonomous vehicles in highways scenario using microscopic simulations,"['Autonomous vehicle', 'Vehicle platooning', 'Car following model', 'Microscopic traffic simulation']",computer science
Multi-level spatial and semantic enhancement network for expression recognition,"['Difficult expressions', 'Intra-class variation', 'Iterative learning']",computer science
Two-stream spatiotemporal feature fusion for human action recognition,"['Human action recognition', 'Spatiotemporal', 'Convolutional neural networks', 'Principal component analysis network', 'BoF', 'VLAD']",computer science
Anomaly detection via a combination model in time series data,"['Time series data', 'Anomaly detection', 'Data representation', 'The Markov model', 'Combination model']",computer science
Vector Symbolic Architectures for Context-Free Grammars,"['Geometric cognition', 'Formal grammars', 'Language processing', 'Vector symbolic architectures', 'Fock space', 'Explainable artificial intelligence (XAI)']",computer science
Synchronization of Quaternion Valued Neural Networks with Mixed Time Delays Using Lyapunov Function Method,"['QVNNs', 'Fixed time synchronization', 'Mixed delay', 'Lyapunov function']",computer science
Sentiment analysis for customer relationship management: an incremental learning approach,"['Customer relationship management', 'Hierarchical attention networks', 'Machine learning', 'Natural language processing', 'Sentiment analysis']",computer science
Assessing the learning and transfer of gaze behaviours in immersive virtual reality,"['Fidelity', 'Police', 'Policing', 'Training', 'Validity', 'VR']",computer science
Automatic chronic degenerative diseases identification using enteric nervous system images,"['Degenerative chronic diseases', 'Enteric glial cells', 'Pattern recognition', 'Deep learning', 'Machine learning']",computer science
Deep finesse network model with multichannel syntactic and contextual features for target-specific sentiment classification,"['Multichannel features', 'Contextual features', 'Semantic and syntactic features', 'Deep learning', 'Deep finesse network', 'Target-specific-sentiment classification']",computer science
Safety diagnosis of TBM for tunnel excavation and its effect on engineering,"['Tunnel mechanical engineering', 'Mining law', 'Risk management', 'Construction safety risk']",computer science
SDNet: A Versatile Squeeze-and-Decomposition Network for Real-Time Image Fusion,"['Image fusion', 'Real time', 'Adaptive', 'Proportion', 'Squeeze decomposition']",computer science
A novel meta-heuristic search algorithm for solving optimization problems: capuchin search algorithm,"['Optimization', 'Meta-heuristics', 'Bio-inspired algorithms', 'Capuchin search algorithm', 'Optimization techniques']",computer science
Performance evaluation of filters for de-noising the intravascular ultrasound (IVUS) images,"['Intravascular ultrasound images', 'Speckle noise', 'Filters', 'De-noise']",computer science
Learned Collaborative Stereo Refinement,"['Stereo', 'Refinement', 'Deep learning', 'Optimization', 'Interpretable AI']",computer science
JointCTR: a joint CTR prediction framework combining feature interaction and sequential behavior learning,"['Click-through rate prediction', 'Feature embedding', 'Feature interaction', 'Sequential behavior', 'Framework']",computer science
Graph representations in genetic programming,"['Linear genetic programming', 'Cartesian genetic programming', 'Evolving graphs by graph programming', 'Directed acyclic graph']",computer science
Bio-inspired visual neural network on spatio-temporal depth rotation perception,"['Depth rotation sensitive neuron', 'Quasi-sinusoidal waveform', 'Lateral inhibition', 'Depth rotation', 'Visual motion perception']",computer science
Internet network location privacy protection with multi-access edge computing,"['Internet network privacy', 'Mobility', 'Internet of Things', 'Multi-access edge computing']",computer science
An iterative gradient convolutional neural network and its application in endoscopic photoacoustic image formation from incomplete acoustic measurement,"['Endoscopic photoacoustic tomography', 'Image formation', 'Incomplete measurement', 'Convolutional neural network (CNN)']",computer science
Depth map super-resolution based on edge-guided joint trilateral upsampling,"['Depth image', 'Image super-resolution', 'Edge-guided', 'Joint trilateral upsampling']",computer science
Optical effects on HDR calibration via a multiple exposure noise-based workflow,"['High dynamic range', 'Veiling glare', 'Lens flare, vignette', 'Multiple exposure recombination', 'Radiometric calibration', 'Photon transfer curve', 'Flat field']",computer science
Multimodal Orthodontic Corpus Construction Based on Semantic Tag Classification Method,"['Multimodal corpus', 'Orthodontic corpus', 'Deep learning', 'Natural language processing', 'Metric learning']",computer science
Trainable activation function with differentiable negative side and adaptable rectified point,"['Activation functions', 'Self-normalizing neural networks', 'Parameterized learning', 'Rectified point']",computer science
Efficient segmentation-based methods for anomaly detection in static and streaming time series under dynamic time warping,"['Anomaly detection', 'Static time series', 'Streaming time series', 'Dynamic time warping', 'Clustering', 'Discord', 'Anomaly score', 'Segmentation']",computer science
Machine learning in medicinal plants recognition: a review,"['Medicinal plants', 'Machine learning', 'Leaf identification', 'Classification']",computer science
Simultaneous segmentation of the optic disc and fovea in retinal images using evolutionary algorithms,"['Evolutionary algorithm', 'Differential evolution', 'Optic disc', 'Fovea', 'Segmentation', 'Retinal image']",computer science
Forecasting vehicular traffic flow using MLP and LSTM,"['Vehicular traffic flow', 'Traffic forecasting', 'Multilayer perceptron', 'Long short-term memory']",computer science
Deep autoencoders for feature learning with embeddings for recommendations: a novel recommender system solution,"['Autoencoders', 'Recommender systems', 'Feature engineering', 'BookCrossing', 'User autoencoder', 'Item autoencoder']",computer science
