tit,keywords,category1
Effective social post classifiers on top of search interfaces,"['Text classification', 'Social media', 'Search interfaces', 'Data mining']",computer science
Experimental verification of the characteristic behaviors in passive dynamic walking,"['Passive dynamic walking', 'Adaptive behavior', 'Experimental verification']",computer science
Intelligent Crime Prevention and Control Big Data Analysis System Based on Imaging and Capsule Network Model,"['Robotic Internet of Things', 'Industrial IoT system', 'Intelligent crime prevention', 'Big data analysis', 'Machine vision']",computer science
A practical and efficient model for intensity calibration of multi-light image collections,"['Multi-light image collections', 'Calibration', 'Light intensity', 'Shape/Material modeling', 'Cultural heritage']",computer science
Frequent high minimum average utility sequence mining with constraints in dynamic databases using efficient pruning strategies,"['Utility mining', 'High average-utility sequence', 'Upper bound', 'Weak upper bound', 'Pruning strategy']",computer science
Automated seizure diagnosis system based on feature extraction and channel selection using EEG signals,"['Seizure', 'Epilepsy', 'Electroencephalography (EEG)', 'Feature extraction', 'Channel selection', 'Cross-validation', 'And seizure classification']",computer science
Automatic Screening of COVID-19 Using an Optimized Generative Adversarial Network,"['Automatic diagnosis', 'Coronavirus', 'COVID-19', 'Generative Adversarial Network', 'Whale Optimization Algorithm', 'Deep learning']",computer science
Should my robot know what's best for me? Human Crobot interaction between user experience and ethical design,"['User experience', 'Human�Crobot interaction', 'Ethical design', 'Privacy', 'Autonomy', 'Elder care']",computer science
Novel Similarity Measure Based on the Transformed Right-Angled Triangles Between Intuitionistic Fuzzy Sets and its Applications,"['Pattern recognition', 'Fuzzy set', 'Right-angled triangle', 'Intuitionistic fuzzy set', 'Similarity measure', 'Clustering algorithm']",computer science
"The influence of personality, sound, and content difficulty on virtual reality sickness","['VR sickness', 'Personality', 'Oculomotor', 'Disorientation', 'Level of difficulty', 'Sound']",computer science
Selecting the most helpful answers in online health question answering communities,"['Question answering', 'Community', 'Answer quality prediction', 'Deep learning']",computer science
Convergence analysis on time scales for HOBAM neural networks in the Stepanov-like weighted pseudo almost automorphic space,"['Time scales', 'High-order BAM neural networks', 'Stepanov-like weighted pseudo almost automorphic solution', 'Leakage delays']",computer science
tofee-tree: automatic feature engineering framework for modeling trend-cycle in time series forecasting,"['Feature engineering', 'Time series forecasting', 'Multi-layer perceptron', 'Long short term memory network']",computer science
Data-driven Exploration of Engagement with Workplace-based Assessment in the Clinical Skills Domain,"['Workplace-based Assessment', 'Medical Education', 'Text Analytics', 'Process Mining']",computer science
Pyramid-attention based multi-scale feature fusion network for multispectral pan-sharpening,"['Pan-sharpening', 'Image fusion', 'Pyramid Attention', 'Multispectral image', 'Deep learning']",computer science
Few-shot learning for spatial regression via neural embedding-based Gaussian processes,"['Few-shot learning', 'Spatial regression', 'Gaussian processes', 'Meta-learning', 'Neural networks']",computer science
Novel MCGDM analysis under m-polar fuzzy soft expert sets,"['m-Polar fuzzy soft expert set', 'Score function', 'Algorithm', 'MCGDM']",computer science
Applying BERT to analyze investor sentiment in stock market,"['Bert model', 'Investor sentiment', 'Online reviews', 'Cross-sectional regression']",computer science
Incremental learning strategies for credit cards fraud detection,"['Fraud detection', 'Incremental learning', 'Transfer Learning', 'Fintech']",computer science
Innovative feature selection and classification model for heart disease prediction,"['Deep convolutional neural network', 'Crow search algorithm (CSA)', 'Genetic algorithm', 'Optimization', 'Healthcare analysis']",computer science
Memory associated with membranes systems,"['Membrane systems with memory', 'Reversibility', 'Backward computation']",computer science
Automatic clustering algorithms: a systematic review and bibliometric analysis of relevant literature,"['Clustering algorithm', 'Automatic clustering', 'Taxonomy', 'Metaheuristic', 'Bibliometric analysis']",computer science
"Federated learning attack surface: taxonomy, cyber defences, challenges, and future directions","['Federated learning', 'Security', 'Privacy', 'Attack surface', 'Cyber defence']",computer science
Exploration and exploitation analysis for the sonar inspired optimization algorithm,"['Exploration', 'Exploitation', 'Sonar Inspired Optimization', 'Nature-Inspired Algorithms']",computer science
Image Preprocessing in Classification and Identification of Diabetic Eye Diseases,"['Diabetic eye disease', 'Image processing', 'Convolution neural network']",computer science
Comparison of extreme learning machine and deep learning model in the estimation of the fresh properties of hybrid fiber-reinforced SCC,"['Hybrid fiber-reinforced SCC', 'Workability', 'Anova analysis', 'Extreme learning machine', 'Deep learning']",computer science
Deep Learning�CBased Approaches to Improve Classification Parameters for Diagnosing COVID-19 from CT Images,"['COVID-19', 'Convolutional neural networks (CNN)', 'CT lung classification', 'Deep learning', 'Dual-tree complex wavelet transform (DT-CWT)', 'Local binary pattern (LBP)']",computer science
Detecting unusual input to neural networks,"['Deep learning', 'Trustworthiness', 'Fisher information', 'Uncertainty', 'Out-of-distribution']",computer science
3-Way Concept Analysis Based on 3-Valued Formal Contexts,"['Formal concept analysis', 'Incomplete formal contexts', 'Conflict analysis', '3-valued formal contexts', '3-valued concept lattices']",computer science
Group decision-making framework using complex Pythagorean fuzzy information,"['Group decision-making', 'VIKOR', 'Complex Pythagorean fuzzy model', 'Ranking measure']",computer science
Estimating the Depth of Anesthesia During the Induction by a Novel Adaptive Neuro-Fuzzy Inference System: A Case Study,"['Induction phase', 'Anesthesia Bi-spectral Index signal', 'Intravenous anesthesia', 'Artificial neural network', 'Neuro-fuzzy']",computer science
Intra-Camera Supervised Person Re-Identification,"['Person re-identification', 'Intra-camera labelling', 'Cross-camera labelling', 'Multi-task learning', 'Multi-label learning']",computer science
An ensemble method to improve prediction of earthquake-induced soil liquefaction: a multi-dataset study,"['Soil liquefaction', 'Earthquake', 'Machine learning', 'Classifier ensemble', 'Genetic algorithm', 'Prediction']",computer science
New results on finite-time stability of fractional-order neural networks with time-varying delay,"['Fractional derivative', 'Neural networks', 'Finite-time stability', 'Time-varying delay', 'Laplace transform', 'Mittag�CLeffler functions']",computer science
Betweenness centrality-based community adaptive network representation for link prediction,"['Betweenness centrality', 'Community adaptation', 'Network representation learning', 'Link prediction']",computer science
Deep-Sync: A novel deep learning-based tool for semantic-aware subtitling synchronisation,"['TV Broadcasting', 'Synchronisation', 'Language model', 'Deep neural networks', 'Machine learning']",computer science
How Robots�� Unintentional Metacommunication Affects Human�CRobot Interactions. A Systemic Approach,"['Human�Crobot interaction', 'HRI design', 'HRI social implications', 'Interactionism', 'Social robots', 'Anthropomorphic robots', 'Robotic metacommunication', 'Behavioral inconsistency', 'Nonverbal interaction', 'Nonverbal cues']",computer science
Two-branch encoding and iterative attention decoding network for semantic segmentation,"['Semantic segmentation', 'Two-branch encoding', 'Improved PeleeNet', 'Iterative attention decoding', 'Channel position attention', 'Boundary residual attention']",computer science
On argument acceptability change towards legal interpretation dynamics,"['Legal interpretation', 'Belief revision', 'Argumentation dynamics', 'Legal dynamics']",computer science
Numerical Solution of Fractional Order Advection Reaction Diffusion Equation with Fibonacci Neural Network,"['Diffusion equation', 'Neural network', 'Fibonacci polynomial']",computer science
Coronavirus herd immunity optimizer (CHIO),"['Coronavirus', 'COVID-19', 'Herd immunity', 'Optimization', 'Nature inspired', 'Metaheuristic']",computer science
"Computer vision, human senses, and language of art","['Computer vision', 'Digital humanities', 'Cultural analytics', 'Language of art']",computer science
Forecasting of e-commerce transaction volume using a hybrid of extreme learning machine and improved moth-flame optimization algorithm,"['E-commerce transaction', 'Prediction', 'Machine learning', 'Extreme learning machine', 'Moth�Cflame optimization']",computer science
Self-supervised monocular depth estimation with occlusion mask and edge awareness,"['Monocular depth estimation', 'Self-supervised learning', 'Computer vision', 'Edge awareness', 'Convolutional neural network']",computer science
An optimal segmentation with deep learning based inception network model for intracranial hemorrhage diagnosis,"['Deep learning', 'Kapur��s thresholding', 'EHO algorithm', 'Inception network', 'Intracranial hemorrhages']",computer science
Optimization of heterogeneous systems with AI planning heuristics and machine learning: a performance and energy aware approach,"['Heterogeneous computing', 'Optimization', 'Artificial intelligence (AI)', 'Machine learning (ML)', 'Planning heuristics']",computer science
Fault diagnosis and prognosis of steer-by-wire system based on finite state machine and extreme learning machine,"['Steer-by-wire system', 'Integrated condition monitoring', 'Finite state machine', 'Extreme learning machine']",computer science
Graph-optimized coupled discriminant projections for cross-view gait recognition,"['Gait recognition', 'Unified subspace', 'Graph-optimized Coupled Discriminant Projections', 'Graph embedding']",computer science
Style-Neutralized Pattern Classification Based on Adversarially Trained Upgraded U-Net,"['Style neutralization', 'Generative adversarial network', 'Pattern classification']",computer science
Dual adaptive deep convolutional neural network for video forgery detection in 3D lighting environment,"['Video forgery detection', 'Deep learning network', 'Rider optimization algorithm', 'Taylor series', 'Spliced images']",computer science
E-GCN: graph convolution with estimated labels,"['Semi-supervised', 'Learning graph convolution', 'Topology optimization', 'Estimated labels']",computer science
A learning search algorithm with propagational reinforcement learning,"['Machine learning', 'Heuristic search', 'Reinforcement learning', 'Deep neural network', 'Deep learning', 'Learning search']",computer science
Investigation and prediction of open source software evolution using automated parameter mining for agent-based simulation,"['Software evolution', 'Agent-based simulation', 'Software repository mining', 'Change coupling networks', 'Open source software']",computer science
A hybrid approach for search and rescue using 3DCNN and PSO,"['Search and rescue', 'Unmanned aerial vehicle', 'Drone-based surveillance', 'Particle swarm optimization (PSO)', 'Action recognition', 'Convolution neural network']",computer science
Perceptual self-position estimation based on gaze tracking in virtual reality,"['Gaze tracking', 'Depth perception', 'Stereo vision', 'Human�Ccomputer interaction', 'Visual discomfort']",computer science
Persistent rule-based interactive reinforcement learning,"['Reinforcement learning', 'Interactive reinforcement learning', 'Persistent advice', 'Rule-based advice']",computer science
Multi-scale object detection for high-speed railway clearance intrusion,"['Multi-scale object detection', 'One-stage anchor-free detector', 'Deep learning', 'Railway clearance intrusion detection']",computer science
Prescriptive analytics with differential privacy,"['Differential privacy', 'Logistic regression', 'Optimization', 'Prescriptive analytics', 'SVM']",computer science
Analysing factorizations of action-value networks for cooperative multi-agent reinforcement learning,"['Multi-agent systems', 'Neural networks', 'Decision-making', 'Action-value representation', 'One-shot games']",computer science
Employing stacked ensemble approach for time series forecasting,"['Ensemble modeling', 'Time series forecasting', 'Neural network auto regression', 'Exponential smoothing']",computer science
Modeling of rock fragmentation by firefly optimization algorithm and boosted generalized additive model,"['Rock size distribution', 'Rock fragmentation', 'FFA-BGAM', 'Blasting', 'Optimization algorithm', 'Hybrid technique']",computer science
The German EU Council Presidency Translator,"['EU Council Presidency Translator', 'Neural machine translation']",computer science
A novel framework for COVID-19 case prediction through piecewise regression in India,"['COVID-19', 'Unlock', 'Machine learning (ML)', 'Linear regression', 'Doubling rate']",computer science
Advancing the Design and Implementation of Artificial Intelligence in Education through Continuous Improvement,"['Teacher-AI collaboration', 'Continuous improvement', 'User-centered approaches']",computer science
"Clinical AI: opacity, accountability, responsibility and liability","['Artificial intelligence', 'Clinical decision making', 'Law', 'Ethics', 'Responsibility', 'Accountability']",computer science
Beyond AP: a new evaluation index for multiclass classification task accuracy,"['Machine learning', 'Multiclassification', 'Evaluation index', 'R�� method']",computer science
