tit,keywords,category1
Experience of neural machine translation between Indian languages,"['Neural machine translation', 'Indian languages', 'BiLSTM encoder decoder model', 'Byte pair encoding (BPE)', 'Phrase table injection', 'Morpheme and word features']",computer science
Performance evaluation of RSUs deployment at dense intersections,"['RSUS', 'VANET', 'V2I', 'DSRC']",computer science
An AI-Based System for Formative and Summative Assessment in Data Science Courses,"['Assessment', 'Automated grading', 'NLP', 'ML', 'Embeddings', 'SVM']",computer science
Evaluating Visual Properties via Robust HodgeRank,"['Visual properties', 'Hodge decomposition', 'Linearized Bregman iteration', 'Paired comparison', 'Robust ranking']",computer science
Constrained permutation-based test scenario generation from concurrent activity diagrams,"['UML design', 'Activity diagram', 'Level permutation', 'Test scenario generation']",computer science
A discrete collaborative swarm optimizer for resource scheduling problem in mobile cellular networks,"['Resource scheduling problem', 'Mobile cellular networks', 'Particle swarm optimization', 'Ensemble learning']",computer science
Measuring objective and subjective well-being: dimensions and data sources,"['Well-being', 'Objective well-being', 'Subjective well-being', 'Well-being dimensions', 'New data sources', 'Data science for social good', 'Artificial intelligence for social good']",computer science
Efficiently inaccurate approximation of hyperbolic tangent used as transfer function in artificial neural networks,"['Cubic splines', 'Hyperbolic tangent', 'Transfer functions']",computer science
An advanced Hybrid Algorithm for Engineering Design Optimization,"['Engineering design optimization', 'Meta-heuristic algorithms', 'Hybrid algorithm']",computer science
Discrete and combinatorial gravitational search algorithms for test case prioritization and minimization,"['Combinatorial optimization', 'Discrete optimization', 'Genetic algorithm', 'Gravitational search algorithm', 'Nature-inspired algorithms', 'Regression testing', 'Search-based software testing', 'Test case prioritization', 'Test case minimization']",computer science
The Big-2/ROSe Model of Online Personality,"['Personality models', 'Online personality', 'Cognitive models', 'Behavior prediction', 'Explainability and interpretability', 'Machine learning', 'Ethical AI']",computer science
Improving parity games in practice,"['Formal verification', 'Zielonka Recursive algorithm', 'PGSolver']",computer science
A new base basic probability assignment approach for conflict data fusion in the evidence theory,"['Dempster-Shafer evidencve theory', 'Basic probability assignment', 'Conflict management', 'Conflicting data fusion']",computer science
Playing to distraction: towards a robust training of CNN classifiers through visual explanation techniques,"['Visual explanation techniques', 'Learning process', 'Convolutional neural networks', 'Image classification', 'Fine-grained recognition', 'Egocentric vision']",computer science
Neural network predictions of the simulated rheological response of cement paste in the FlowCyl,"['Cement paste', 'Rheology', 'Computational fluid dynamics', 'Artificial neural network']",computer science
A deep learning computer vision iPad application for Sales Rep optimization in the field,"['Applications of computer vision', 'Deep learning', 'Mobile computing', 'Object detection in real-world environments']",computer science
Motion control of virtual reality based on an inertia-based sensing mechanism and a novel approach to redirected walking,"['Virtual reality', 'Motion control', 'Ranging sensor', 'Inertial sensor', 'Virtual environment', 'Redirected walking']",computer science
Rehabilitation of visual functions in adult amblyopic patients with a virtual reality videogame: a case series,"['Amblyopia', 'Visual acuity', 'Contrast sensitivity', 'Stereopsis', 'Videogame', 'Virtual reality']",computer science
From posthumanism to ethics of artificial intelligence,"['Posthumanism', 'Postmodernity', 'Artificial intelligence (AI)', 'Artificial moral agent', 'Ethics', 'Moral agent']",computer science
